student_id,first_name,last_name,email,birthday
1,Christopher,Vazquez,devinhansen@hotmail.com,1998-08-22
2,Stephen,Cook,clarkscott@gmail.com,1997-05-13
3,Sean,Patrick,jimmy92@campos.com,1998-02-23
4,Carmen,Potts,john50@gmail.com,1996-02-23
5,William,Thornton,hutchinsonhannah@gmail.com,1996-09-27
6,Michael,Hunt,ballemily@hotmail.com,1997-02-03
7,Ashley,Murphy,qfigueroa@pham.biz,1999-08-26
8,Nicole,Perkins,nicholssteven@gmail.com,1998-11-12
9,Latoya,Sparks,fischercarol@duran.com,1996-10-25
10,Gregory,Martin,fletcheralan@carter-brown.biz,1995-02-04
11,Melissa,Cox,cherman@yahoo.com,1999-10-08
12,Steven,Brown,jessicagarcia@patrick-arnold.org,1998-02-27
13,Susan,Decker,werneranthony@martinez-english.com,1995-04-27
14,Tara,Silva,patrick35@bowen-myers.com,1999-06-01
15,Jacob,Wright,uwatson@wolfe.com,1995-05-24
16,Andre,Stephenson,simonangela@clark.com,1995-04-08
17,Jason,Williams,elizabethvillanueva@beck.com,1995-09-02
18,Lauren,Hall,emma55@gmail.com,1998-09-05
19,Lonnie,Johnson,clinejoseph@hotmail.com,1997-01-01
20,Jonathan,Burns,michellewilliams@long.org,1996-06-04
21,Abigail,Hinton,cristianray@owens.org,1998-03-13
22,Kenneth,Stevens,jtaylor@gmail.com,1997-03-01
23,Jose,Scott,valeriesolomon@hotmail.com,1999-08-15
24,Sarah,Dougherty,thomaskathleen@gonzalez-anderson.com,1999-05-18
25,Mary,Jackson,sherrera@gmail.com,1996-04-14
